"","coord_x","coord_y","id_tree","id_time","id_path","id_leaf","id_pathtree","id_step","seg_deg","seg_len","seg_col","seg_wid"
"1",-1.18991353293216,3.54360388688021,1,10,512,TRUE,"1_512",0,105,0.040310784,12,0.100617049020433
"2",-1.19999122893216,3.56105896837545,1,10,512,TRUE,"1_512",1,105,0.040310784,12,0.100617049020433
"3",-1.20034673155437,3.58254111422377,1,10,512,TRUE,"1_512",2,105,0.040310784,12,0.100617049020433
"4",-1.04129547616042,2.65667248829042,1,10,513,TRUE,"1_513",0,165,0.056623104,12,0.100617049020433
"5",-1.06581399941298,2.67082826429042,1,10,513,TRUE,"1_513",1,165,0.056623104,12,0.100617049020433
"6",-1.09598919467867,2.67132762599844,1,10,513,TRUE,"1_513",2,165,0.056623104,12,0.100617049020433
"7",-1.37366492482558,3.56715979695347,1,10,514,TRUE,"1_514",0,195,0.153055008,12,0.100617049020433
"8",-1.43993968737779,3.52889604495347,1,10,514,TRUE,"1_514",1,195,0.153055008,12,0.100617049020433
"9",-1.52150470989566,3.52754624593475,1,10,514,TRUE,"1_514",2,195,0.153055008,12,0.100617049020433
"10",-1.26169691391286,3.06320229888331,1,10,515,TRUE,"1_515",0,120,0.080621568,12,0.100617049020433
"11",-1.27213011253507,3.10213952622687,1,10,515,TRUE,"1_515",1,120,0.080621568,12,0.100617049020433
"12",-1.30200769791286,3.13302262486424,1,10,515,TRUE,"1_515",2,120,0.080621568,12,0.100617049020433
"13",-1.11872179009901,3.27383246603251,1,10,516,TRUE,"1_516",0,165,0.068024448,12,0.100617049020433
"14",-1.14277206433265,3.29788274026615,1,10,516,TRUE,"1_516",1,165,0.068024448,12,0.100617049020433
"15",-1.18442836124127,3.2914384887075,1,10,516,TRUE,"1_516",2,165,0.068024448,12,0.100617049020433
"16",-0.721406788591967,2.88498111465073,1,10,517,TRUE,"1_517",0,165,0.071663616,12,0.100617049020433
"17",-0.757238596591967,2.88498111465073,1,10,517,TRUE,"1_517",1,165,0.071663616,12,0.100617049020433
"18",-0.790628526091629,2.90352902331245,1,10,517,TRUE,"1_517",2,165,0.071663616,12,0.100617049020433
"19",-0.571403676243165,3.7602061686664,1,10,518,TRUE,"1_518",0,90,0.053747712,12,0.100617049020433
"20",-0.578359141991308,3.78616432022878,1,10,518,TRUE,"1_518",1,90,0.053747712,12,0.100617049020433
"21",-0.571403676243165,3.8139538806664,1,10,518,TRUE,"1_518",2,90,0.053747712,12,0.100617049020433
"22",-1.42288092045945,3.27059701591146,1,10,519,TRUE,"1_519",0,180,0.120932352,12,0.100617049020433
"23",-1.48128676147479,3.28624681384478,1,10,519,TRUE,"1_519",1,180,0.120932352,12,0.100617049020433
"24",-1.54381327245945,3.27059701591146,1,10,519,TRUE,"1_519",2,180,0.120932352,12,0.100617049020433
"25",-1.79977355092263,2.53628832674842,1,10,520,TRUE,"1_520",0,240,0.080621568,12,0.100617049020433
"26",-1.8346837139131,2.51613293474842,1,10,520,TRUE,"1_520",1,240,0.080621568,12,0.100617049020433
"27",-1.84008433492263,2.46646800076749,1,10,520,TRUE,"1_520",2,240,0.080621568,12,0.100617049020433
