"","coord_x","coord_y","id_tree","id_time","id_path","id_leaf","id_pathtree","id_step","seg_deg","seg_len","seg_col","seg_wid"
"1",-0.428994339192286,0,1,1,1,FALSE,"1_1",0,90,1,3,4.66965592635614
"2",-0.428994339192286,0.5,1,1,1,FALSE,"1_1",1,90,1,3,4.66965592635614
"3",-0.428994339192286,1,1,1,1,FALSE,"1_1",2,90,1,3,4.66965592635614
"4",-0.428994339192286,1,1,2,2,FALSE,"1_2",0,75,0.9,4,3.58838163035516
"5",-0.428994339192286,1.45,1,2,2,FALSE,"1_2",1,75,0.9,4,3.58838163035516
"6",-0.196057198600017,1.86933324366016,1,2,2,FALSE,"1_2",2,75,0.9,4,3.58838163035516
"7",-0.428994339192286,1,1,2,3,FALSE,"1_3",0,75,0.6,4,3.58838163035516
"8",-0.428994339192286,1.3,1,2,3,FALSE,"1_3",1,75,0.6,4,3.58838163035516
"9",-0.273702912130774,1.57955549577344,1,2,3,FALSE,"1_3",2,75,0.6,4,3.58838163035516
"10",-0.196057198600017,1.86933324366016,1,3,4,FALSE,"1_4",0,105,0.54,5,2.32429033111471
"11",-0.126176056422337,2.13013321675821,1,3,4,FALSE,"1_4",1,105,0.54,5,2.32429033111471
"12",-0.335819482955379,2.39093318985626,1,3,4,FALSE,"1_4",2,105,0.54,5,2.32429033111471
"13",-0.273702912130774,1.57955549577344,1,3,5,FALSE,"1_5",0,90,0.48,5,2.32429033111471
"14",-0.211586341306169,1.81137769408282,1,3,5,FALSE,"1_5",1,90,0.48,5,2.32429033111471
"15",-0.273702912130774,2.05955549577344,1,3,5,FALSE,"1_5",2,90,0.48,5,2.32429033111471
"16",-0.196057198600017,1.86933324366016,1,3,6,FALSE,"1_6",0,105,0.54,5,2.32429033111471
"17",-0.126176056422337,2.13013321675821,1,3,6,FALSE,"1_6",1,105,0.54,5,2.32429033111471
"18",-0.335819482955379,2.39093318985626,1,3,6,FALSE,"1_6",2,105,0.54,5,2.32429033111471
"19",-0.273702912130774,1.57955549577344,1,3,7,FALSE,"1_7",0,105,0.54,5,2.32429033111471
"20",-0.203821769953093,1.84035546887149,1,3,7,FALSE,"1_7",1,105,0.54,5,2.32429033111471
"21",-0.413465196486135,2.10115544196954,1,3,7,FALSE,"1_7",2,105,0.54,5,2.32429033111471
"22",-0.335819482955379,2.39093318985626,1,4,8,FALSE,"1_8",0,135,0.432,6,1.28463879341061
"23",-0.391724396697523,2.5995731683347,1,4,8,FALSE,"1_8",1,135,0.432,6,1.28463879341061
"24",-0.641289612427967,2.69640331932885,1,4,8,FALSE,"1_8",2,135,0.432,6,1.28463879341061
"25",-0.273702912130774,2.05955549577344,1,4,9,FALSE,"1_9",0,120,0.384,6,1.28463879341061
"26",-0.273702912130774,2.25155549577344,1,4,9,FALSE,"1_9",1,120,0.384,6,1.28463879341061
"27",-0.465702912130774,2.39210925082667,1,4,9,FALSE,"1_9",2,120,0.384,6,1.28463879341061
"28",-0.335819482955379,2.39093318985626,1,4,10,FALSE,"1_10",0,90,0.486,6,1.28463879341061
"29",-0.398712510915291,2.6256531656445,1,4,10,FALSE,"1_10",1,90,0.486,6,1.28463879341061
"30",-0.335819482955379,2.87693318985626,1,4,10,FALSE,"1_10",2,90,0.486,6,1.28463879341061
"31",-0.413465196486135,2.10115544196954,1,4,11,FALSE,"1_11",0,135,0.432,6,1.28463879341061
"32",-0.469370110228279,2.30979542044798,1,4,11,FALSE,"1_11",1,135,0.432,6,1.28463879341061
"33",-0.718935325958723,2.40662557144213,1,4,11,FALSE,"1_11",2,135,0.432,6,1.28463879341061
"34",-0.335819482955379,2.39093318985626,1,4,12,FALSE,"1_12",0,135,0.324,6,1.28463879341061
"35",-0.377748168261987,2.54741317371509,1,4,12,FALSE,"1_12",1,135,0.324,6,1.28463879341061
"36",-0.56492208005982,2.6200357869607,1,4,12,FALSE,"1_12",2,135,0.324,6,1.28463879341061
"37",-0.273702912130774,2.05955549577344,1,4,13,FALSE,"1_13",0,75,0.288,6,1.28463879341061
"38",-0.273702912130774,2.20355549577344,1,4,13,FALSE,"1_13",1,75,0.288,6,1.28463879341061
"39",-0.199163027141248,2.33774213374469,1,4,13,FALSE,"1_13",2,75,0.288,6,1.28463879341061
"40",-0.335819482955379,2.39093318985626,1,4,14,FALSE,"1_14",0,90,0.432,6,1.28463879341061
"41",-0.391724396697523,2.5995731683347,1,4,14,FALSE,"1_14",1,90,0.432,6,1.28463879341061
"42",-0.335819482955379,2.82293318985626,1,4,14,FALSE,"1_14",2,90,0.432,6,1.28463879341061
"43",-0.413465196486135,2.10115544196954,1,4,15,FALSE,"1_15",0,90,0.486,6,1.28463879341061
"44",-0.476358224446048,2.33587541775778,1,4,15,FALSE,"1_15",1,90,0.486,6,1.28463879341061
"45",-0.413465196486135,2.58715544196954,1,4,15,FALSE,"1_15",2,90,0.486,6,1.28463879341061
"46",-0.641289612427967,2.69640331932885,1,5,16,FALSE,"1_16",0,120,0.3456,7,0.626996122809322
"47",-0.763477664217003,2.81859137111788,1,5,16,FALSE,"1_16",1,120,0.3456,7,0.626996122809322
"48",-0.814089612427967,2.99570169887675,1,5,16,FALSE,"1_16",2,120,0.3456,7,0.626996122809322
"49",-0.465702912130774,2.39210925082667,1,5,17,FALSE,"1_17",0,150,0.2304,7,0.626996122809322
"50",-0.523302912130774,2.49187537734263,1,5,17,FALSE,"1_17",1,150,0.2304,7,0.626996122809322
"51",-0.665235165162708,2.50730925082667,1,5,17,FALSE,"1_17",2,150,0.2304,7,0.626996122809322
"52",-0.335819482955379,2.87693318985626,1,5,18,FALSE,"1_18",0,120,0.4374,7,0.626996122809322
"53",-0.335819482955379,3.09563318985626,1,5,18,FALSE,"1_18",1,120,0.4374,7,0.626996122809322
"54",-0.554519482955379,3.25573270147157,1,5,18,FALSE,"1_18",2,120,0.4374,7,0.626996122809322
"55",-0.718935325958723,2.40662557144213,1,5,19,FALSE,"1_19",0,120,0.2592,7,0.626996122809322
"56",-0.8105763648005,2.4982666102839,1,5,19,FALSE,"1_19",1,120,0.2592,7,0.626996122809322
"57",-0.848535325958723,2.63109935610305,1,5,19,FALSE,"1_19",2,120,0.2592,7,0.626996122809322
"58",-0.56492208005982,2.6200357869607,1,5,20,FALSE,"1_20",0,120,0.2592,7,0.626996122809322
"59",-0.656563118901597,2.71167682580248,1,5,20,FALSE,"1_20",1,120,0.2592,7,0.626996122809322
